spruch,explanation,category,source,rating,id
"Benutze die geile Gehirnmaschine!",,"Random","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm","4","82"
"Bergab ist steiler als zu Fuß.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"83"
"Beseh’n wir uns bei Lichte, sind alle Zwerge Wichte.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"84"
"Besser Allianz versichert als Nato geschädigt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"85"
"Besser die Sau rauslassen als die Bullen holen.",,"Tiere,Polizei","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"86"
"Besser ein Bohrloch als ein Arschloch.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"87"
"Besser ein Gutschein als ein Jagdschein.",,"Nie wieder Krieg!","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"88"
"Besser ekelhaft als Einzelhaft.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"89"
"Besser FKK als FDP.",,"Politik","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"90"
"Besser Jägermeister als Düsenjäger.",,"Nie wieder Krieg!","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"91"
"Besser laufen als faulen.",,"Sport","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"92"
"Besser niederträchtig als hochschwanger ","(Diether Krebs in einem Sketch)",,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"93"
"Besser Sex für Geld als kein Sex und kein Geld ","(Komödie ""Stellungswechsel"", ZDF 16.8.2012, 20:25)",,"https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"94"
"Besser Video als gar kein Deo.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"95"
"Betrachten Sie Ihr Gehalt als Anwesenheitsprämie.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"96"
"Bevor man in einen katholischen Orden eintritt, muss man wissen, dass man nie wieder austreten kann.",,"Religion","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"97"
"Bienen sind gar nicht so fleißig, sie können nur nicht langsamer fliegen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"98"
"Bier und Hanf gehören zum Kampf.",,"Saufen,Drogen","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"99"
"Billard ist bekannter als Billzdf. ","(Ergebnis einer Medienumfrage)","Film & Fernsehen","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"100"
"Biologisch düngen: Aus dem Kot eine Tugend machen.",,"Pipikaka","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"101"
"Biss demnächst, sagte der Vampir.",,"Punny","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"102"
"Bist du einsam und allein, sprüh dich mit Kontaktspray ein. ","(gesehen in Facebook, 29.5.2k14)","Reim","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"103"
"Biste in der EDV, kennt deine Daten jede Sau.",,"Technik","https://wolfgang-naeser-marburg.lima-city.de/htm/sponti.htm",,"104"
"Blumen, die nicht wachsen, nennt man Wachsblumen.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"105"
"Brennt dem Bauern mal der Kittel, liegt’s am scharfen Düngemittel.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"106"
"Bringen sie die Lösung oder sind sie selbst das Problem?",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"107"
"Brot für die Welt, Kuchen für mich!",,"Food","https://www.sprueche.ws/dumme-sprueche","4","108"
"Buchen sie jetzt! Eichen können sie später.",,"Natur","https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"109"
"Charme ist das einzige, das sich nicht unter Druck versprühen lässt.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"110"
"Chemie ist der schmale Grat zwischen Schizophrenie und Wahnsinn.",,,"https://www.fh-muenster.de/ciw/downloads/personal/juestel/juestel/Sponti-Sprueche.pdf",,"111"
